Station,SID,Network,Distance_mi,Covered_years,Tmax_%,Tmin_%,Tmean_%,Precip_%,Keep
SHAWNEE 1.9 ENE,US1OKPT0006 6,GHCN,44.5,2009-2011,0,0,0,5,DROP
SHAWNEE 3NNW MESONET,348124 2,COOP,44.5,2000-2020,40,40,40,40,DROP
ENID,342912 2,COOP,45.0,1991-2020,98,98,97,100,KEEP
ENID 3.1 WSW,US1OKGD0011 6,GHCN,45.1,2010-2017,0,0,0,9,DROP
SHAWNEE NAS,93911 1,WBAN,45.3,2001-2019,15,15,15,14,DROP
SHAWNEE,348110 2,COOP,46.0,1991-2020,0,0,0,100,DROP
SHAWNEE 3.0 E,US1OKPT0015 6,GHCN,46.0,2014-2017,0,0,0,11,DROP
SHAWNEE 3.0 E,US1OKPT0025 6,GHCN,46.0,  none ,0,0,0,0,DROP
ENID 3.3 W,US1OKGD0009 6,GHCN,46.4,2010-2018,0,0,0,25,DROP
ENID 3.3 W,US1OKGD0021 6,GHCN,46.5,  none ,0,0,0,0,DROP
ENID 2.9 WNW,US1OKGD0023 6,GHCN,46.5,  none ,0,0,0,0,DROP
ENID 3.6 WNW,US1OKGD0007 6,GHCN,47.1,2009-2020,0,0,0,38,DROP
ENID 4.1 NW,US1OKGD0020 6,GHCN,48.2,2020-2020,0,0,0,2,DROP
MINCO 0.3 ENE,US1OKGY0004 6,GHCN,48.6,2012-2015,0,0,0,9,DROP
